busstop,route_no
allalasandra gate,285H
allalasandra gate,285J
allalasandra gate,285K
allalasandra gate,285L
allalasandra gate,285MG
allalasandra gate,285MK
allalasandra gate,285N
allalasandra gate,285P
allalasandra gate,285R
allalasandra gate,285RA
allalasandra gate,285RB
allalasandra gate,285w
allalasandra gate,285X
allalasandra gate,285Y
allalasandra gate,285Z
allalasandra gate,289B
allalasandra gate,289C
allalasandra gate,289E
allalasandra gate,289K
allalasandra gate,297A
allalasandra gate,297B
allalasandra gate,297F
allalasandra gate,297H
allalasandra gate,298MG
allalasandra gate,299E
allalasandra gate,402A
allalasandra gate,282E
allalasandra gate,282H
allalasandra gate,284B
allalasandra gate,285V
allalasandra gate,404E
allalasandra gate,407D
allalasandra gate yalahanka,285JA
allalasandra gate yalahanka,404C
allalasandra gate yalahanka,298MC
allalasandra gate yalahanka,289M
allalasandra gate yalahanka,283
allalasandra gate yalahanka,298MA
allalasandra gate yalahanka,285G
allalasandra gate yalahanka,298M
allalasandra gate yalahanka,298ME
allalasandra gate yalahanka,285JE
allalasandra gate yalahanka,285F
allalasandra gate yalahanka,285E
allalasandra gate yalahanka,298C
allalasandra gate yalahanka,298MK
allalasandra gate yalahanka,283D
allalasandra gate yalahanka,283B
allalasandra gate yalahanka,281
allalasandra gate yalahanka,283A
allalasandra gate yalahanka,283E
allalasandra gate yalahanka,285JB
allalasandra gate yalahanka,401H
allalasandra gate yalahanka,404
allalasandra gate yalahanka,500DA
allalasandra gate yalahanka,402M
allalasandra gate yalahanka,404J
allalasandra gate yalahanka,G-9
allalasandra gate yalahanka,298Y
allalasandra karikaldoddi beside open area,213D
allalasandra karikaldoddi beside open area,213DA
allalasandra karikaldoddi beside open area,213DB
allalasandra karikaldoddi beside open area,213DC
allalasandra karikaldoddi beside open area,213P
aluru aluru opposite of milk dairy,257
aluru aluru opposite of milk dairy,257H
aluru aluru opposite of milk dairy,257E
aluru palya aluru palya in front of provision store,257E
amarajyothi badavane,415H
amarajyothi badavane,415E
amarjyothi nagara,287B
ambedkar bhavana,G-11
ambedkar college 80feet outer ring road in front of fish product sales counter,235K
ambedkar college 80feet outer ring road in front of fish product sales counter,235P
ambedkar college 80feet outer ring road in front of fish product sales counter,238W
ambedkar college 80feet outer ring road in front of fish product sales counter,235AA
ambedkar college 80feet outer ring road in front of fish product sales counter,K-4
ambedkar college circle 80feet outer ring road beside ambedkar college,238V
ambedkar college circle 80feet outer ring road beside ambedkar college,238VR
ambedkar college circle 80feet outer ring road beside ambedkar college,238Z
ambedkar college circle 80feet outer ring road beside ambedkar college,238UB
ambedkar college circle 80feet outer ring road beside ambedkar college,238VB
ambedkar college circle 80feet outer ring road beside ambedkar college,401MD
ambedkar college circle 80feet outer ring road beside ambedkar college,238ZA
ambedkar college circle 80feet outer ring road beside ambedkar college,238U
ambedkar college circle 80feet outer ring road beside ambedkar college,401K
ambedkar college circle 80feet outer ring road beside ambedkar college,401KB
ambedkar college circle 80feet outer ring road beside ambedkar college,401KC
ambedkar college circle 80feet outer ring road beside ambedkar college,235Q
ambedkar college circle 80feet outer ring road beside ambedkar college,401KA
ambedkar college kengunte  mallathahalli opposite of ambedkar college,MP-501A
ambedkar college kengunte  mallathahalli opposite of ambedkar college,501N
ambedkar college kengunte  mallathahalli opposite of ambedkar college,401Z
ambedkar college kengunte  mallathahalli opposite of ambedkar college,501B
ambedkar college kengunte  mallathahalli opposite of ambedkar college,401M
ambedkar college kengunte  mallathahalli opposite of ambedkar college,401MA
ambedkar college kengunte  mallathahalli opposite of ambedkar college,401MC
ambedkar college kengunte  mallathahalli opposite of ambedkar college,502F
ambedkar college kengunte  mallathahalli opposite of ambedkar college,502H
ambedkar college kengunte  mallathahalli opposite of ambedkar college,502HA
ambedkar college kengunte  mallathahalli opposite of ambedkar college,502HB
ambedkar college kengunte  mallathahalli opposite of ambedkar college,502V
ambedkar college kengunte  mallathahalli opposite of ambedkar college,238S
ambedkar college kengunte  mallathahalli opposite of ambedkar college,502HC
ambedkar medical college shampura tany road in front of ambedkar medical college,290K
ambedkar medical college shampura tany road in front of ambedkar medical college,291E
ambedkar medical college shampura tany road in front of ambedkar medical college,290D
ambedkar medical college shampura tany road opposite of ambedkar medical college,300V
ambedkar medical college shampura tany road opposite of ambedkar medical college,415G
ambedkar medical college shampura tany road opposite of ambedkar medical college,290H
ambedkar nagara,319G
ambedkar nagara ambedkarnagara,333K
ambedkar nagara ambedkarnagara,342F
ambedkar nagara ambedkarnagara,342JB
ambedkar nagara ambedkarnagara,MP-342F
ambedkar nagara ambedkarnagara,342
ambedkar nagara ambedkarnagara,342A
ambedkar nagara ambedkarnagara,342AA
ambedkar nagara ambedkarnagara,342B
ambedkar nagara ambedkarnagara,342C
ambedkar nagara ambedkarnagara,342D
ambedkar nagara ambedkarnagara,342E
ambedkar nagara ambedkarnagara,342G
ambedkar nagara ambedkarnagara,342J
ambedkar nagara ambedkarnagara,342K
ambedkar nagara ambedkarnagara,342L
ambedkar nagara ambedkarnagara,342M
ambedkar nagara ambedkarnagara,342MA
ambedkar nagara ambedkarnagara,342N
ambedkar nagara ambedkarnagara,342Q
ambedkar nagara ambedkarnagara,342T
ambedkar nagara ambedkarnagara,342U
ambedkar nagara ambedkarnagara,342V
ambedkar nagara ambedkarnagara,342VA
ambedkar nagara ambedkarnagara,342W
ambedkar nagara ambedkarnagara,342X
ambedkar nagara ambedkarnagara,342Y
ambedkar nagara ambedkarnagara,342Z
ambedkar nagara ambedkarnagara,G-2
ambedkar nagara ambedkarnagara,342WA
ambedkar nagara ambedkarnagara,342R
ambedkar nagara ambedkarnagara,342H
amc college bannerghatta road,378F
amc college bannerghatta road,215ZA
amc college bannerghatta road,365M
amc college bannerghatta road,G-4
amc college bannerghatta road,372H
amc college bannerghatta road,378A
amc college bannerghatta road,411B
amc college bannerghatta road,365
amc college bannerghatta road,365C
amc college bannerghatta road,365F
amc college bannerghatta road,365J
amc college bannerghatta road,365N
amc college bannerghatta road,365P
amc college bannerghatta road,365Q
amc college bannerghatta road,365W
amc college bannerghatta road,371D
amc college bannerghatta road,372F
amc college bannerghatta road,366
amc college bannerghatta road,370
amc college bannerghatta road,372
amc college bannerghatta road,215Z
amc college bannerghatta road,366B
amc college bannerghatta road,366BA
amc college bannerghatta road,366D
amc college bannerghatta road,366F
amc college bannerghatta road,366H
amc college bannerghatta road,366KA
amc college bannerghatta road,366L
amc college bannerghatta road,366N
amc college bannerghatta road,366Q
amc college bannerghatta road,366QA
amc college bannerghatta road,366R
amc college bannerghatta road,366T
amc college bannerghatta road,366V
amc college bannerghatta road,366W
amc college bannerghatta road,366X
amc college bannerghatta road,366Z
amc college bannerghatta road,370A
amc college bannerghatta road,370B
amc college bannerghatta road,371A
amc college bannerghatta road,372A
amc college bannerghatta road,372B
amc college bannerghatta road,372C
amc college bannerghatta road,372E
amc college bannerghatta road,372G
amc college bannerghatta road,372J
amc college bannerghatta road,372M
amc college bannerghatta road,366P
amc college bannerghatta road,411J
amc college bannerghatta road,368
amma ashrama,238Z
amma ashrama,223H
amma ashrama cross,238Z
amma ashrama cross,226Z
amma ashrama cross,234A
amma ashrama cross,238ZA
amma ashrama cross,234E
amma ashrama cross,234
amma ashrama cross,234F
amma ashrama cross,BC-6
amrita nagara choodasandra opposite of s.m.j.sky shoppy,341B
amrutahalli amruthahalli beside amruth clinic,BC-9B
amrutahalli amruthahalli beside amruth clinic,286F
amrutahalli amruthahalli beside amruth clinic,286B
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,BC-9
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,BC-9D
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,BC-9B
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,286
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,286D
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,286E
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,414
amrutahalli amruthahalli beside s.l.j. iyengar bakery & sweets,286H
amruth nagara amruth nagara in front of india ltd,215NA
amruth nagara amruth nagara in front of india ltd,215
amruthanandamayi college kasavanahalli opposite of amrita college,341B
amruthnagar amruth nagara opposite of india ltd,215ZA
amruthnagar amruth nagara opposite of india ltd,215Z
amruthnagar in front of r.m.z.,287JA
anagalipura angalapura beside bakery,294D
anand ashrama,369C
anand ashrama,368D
ananda nagara anandapura in front of krishna bakery & sweets,301F
ananda nagara anandapura in front of krishna bakery & sweets,315T
ananda nagara anandapura in front of krishna bakery & sweets,313T
ananda nagara anandapura in front of krishna bakery & sweets,301E
ananda nagara anandapura in front of krishna bakery & sweets,310E
ananda rao circle in front of director of medical education,1
ananda rao circle in front of director of medical education,266Q
ananda rao circle in front of director of medical education,MP-96
ananda rao circle in front of director of medical education,47
ananda rao circle neharu nagara beside director of medical education,TR-6
ananda rao circle neharu nagara beside director of medical education,96
ananda rao circle neharu nagara beside director of medical education,98E
ananda rao circle neharu nagara beside director of medical education,99A
ananda rao circle neharu nagara beside director of medical education,99B
ananda rao circle neharu nagara beside director of medical education,285CC
ananda rao circle neharu nagara beside tata consultency service,285JA
ananda rao circle neharu nagara beside tata consultency service,283
ananda rao circle neharu nagara beside tata consultency service,285G
ananda rao circle neharu nagara beside tata consultency service,285JE
ananda rao circle neharu nagara beside tata consultency service,285F
ananda rao circle neharu nagara beside tata consultency service,275
ananda rao circle neharu nagara beside tata consultency service,263C
ananda rao circle neharu nagara beside tata consultency service,285E
ananda rao circle neharu nagara beside tata consultency service,298C
ananda rao circle neharu nagara beside tata consultency service,280L
ananda rao circle neharu nagara beside tata consultency service,284A
ananda rao circle neharu nagara beside tata consultency service,283B
ananda rao circle neharu nagara beside tata consultency service,266K
ananda rao circle neharu nagara beside tata consultency service,281
ananda rao circle neharu nagara beside tata consultency service,266R
ananda rao circle neharu nagara beside tata consultency service,283A
ananda rao circle neharu nagara beside tata consultency service,283E
ananda rao circle neharu nagara janatha dala(s) office,365M
ananda rao circle neharu nagara janatha dala(s) office,279F
ananda rao circle neharu nagara janatha dala(s) office,356J
ananda rao circle neharu nagara janatha dala(s) office,277
ananda rao circle neharu nagara janatha dala(s) office,279
ananda rao circle neharu nagara janatha dala(s) office,284
ananda rao circle neharu nagara janatha dala(s) office,406
ananda rao circle neharu nagara janatha dala(s) office,279C
ananda rao circle neharu nagara janatha dala(s) office,279E
ananda rao circle neharu nagara janatha dala(s) office,279K
ananda rao circle neharu nagara janatha dala(s) office,280K
ananda rao circle neharu nagara janatha dala(s) office,281G
ananda rao circle neharu nagara janatha dala(s) office,282F
ananda rao circle neharu nagara janatha dala(s) office,282G
ananda rao circle neharu nagara janatha dala(s) office,284C
ananda rao circle neharu nagara janatha dala(s) office,284D
ananda rao circle neharu nagara janatha dala(s) office,285M
ananda rao circle neharu nagara janatha dala(s) office,285MF
ananda rao circle neharu nagara janatha dala(s) office,286G
ananda rao circle neharu nagara janatha dala(s) office,287G
ananda rao circle neharu nagara janatha dala(s) office,287JA
ananda rao circle neharu nagara janatha dala(s) office,287L
ananda rao circle neharu nagara janatha dala(s) office,288D
ananda rao circle neharu nagara janatha dala(s) office,288H
ananda rao circle neharu nagara janatha dala(s) office,288M
